service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"AA51+1","1","1","1","1","1","0","0","20250423","20250722"
"AA51#1+1","1","1","1","1","1","0","0","20250423","20250722"
"AA55+1","1","1","1","1","0","0","0","20250505","20250508"
"AA55#1+1","1","1","1","1","0","0","0","20250428","20250501"
"AA73+1","0","0","0","1","0","0","0","20250508","20250508"
"AA74+1","0","0","1","0","0","0","0","20250423","20250423"
"AA76+1","0","1","1","1","1","0","0","20250506","20250509"
"AA93+1","1","1","0","0","0","0","0","20250428","20250429"
"AA93#1+1","1","1","0","0","0","0","0","20250505","20250506"
"AB50+1","0","0","0","0","0","1","0","20250426","20250426"
"AB50#1+1","0","0","0","0","0","1","0","20250517","20250517"
"AB50#2+1","0","0","0","0","0","1","0","20250607","20250607"
"AB50#3+1","0","0","0","0","0","1","0","20250712","20250712"
"AB51+1","0","0","0","0","0","0","1","20250427","20250427"
"AB72+1","0","0","0","0","0","1","1","20250423","20250722"
"AB72#1+1","0","0","0","0","0","1","1","20250423","20250722"
"TA+2","1","1","1","1","1","1","1","20250423","20250722"
"TA+1j+2","0","0","1","0","0","0","0","20250428","20250722"
"TA+3f000+2","1","1","1","1","1","0","0","20250423","20250722"
"TA+4f000+2","1","1","1","1","1","0","0","20250423","20250722"
"TA+5f000+2","1","1","1","1","1","0","0","20250423","20250722"
"TA+7f000+2","1","1","1","1","1","0","0","20250423","20250722"
"TA+a5000+2","0","0","1","0","0","0","0","20250423","20250722"
"TA+jT+2","0","0","0","0","1","0","0","20250423","20250722"
"TA+ko+2","0","0","0","1","0","0","0","20250423","20250722"
"TA+ql000+2","1","1","1","1","1","0","0","20250423","20250722"
"TA+R124+2","1","1","1","1","0","0","0","20250423","20250722"
"TA+R52+2","1","1","1","1","1","0","0","20250428","20250722"
"TA+R52#1+2","1","1","1","1","1","0","0","20250423","20250722"
"TA+R52#2+2","1","1","1","1","1","0","0","20250423","20250722"
"TA+R65+2","0","0","0","0","1","0","0","20250423","20250722"
"TA+R65#1+2","0","0","0","0","1","0","0","20250423","20250722"
