service_id,date,exception_type
"AA51+1","20250425","2"
"AA51+1","20250609","2"
"AA51#1+1","20250425","2"
"AA51#1+1","20250609","2"
"AB72+1","20250425","1"
"AB72+1","20250609","1"
"AB72#1+1","20250425","1"
"AB72#1+1","20250609","1"
"TA+1j+2","20250709","2"
"TA+1j+2","20250716","2"
"TA+3f000+2","20250425","2"
"TA+3f000+2","20250609","2"
"TA+4f000+2","20250425","2"
"TA+4f000+2","20250428","2"
"TA+4f000+2","20250429","2"
"TA+4f000+2","20250430","2"
"TA+4f000+2","20250501","2"
"TA+4f000+2","20250502","2"
"TA+4f000+2","20250505","2"
"TA+4f000+2","20250506","2"
"TA+4f000+2","20250507","2"
"TA+4f000+2","20250508","2"
"TA+4f000+2","20250509","2"
"TA+4f000+2","20250512","2"
"TA+4f000+2","20250513","2"
"TA+4f000+2","20250514","2"
"TA+4f000+2","20250515","2"
"TA+4f000+2","20250516","2"
"TA+4f000+2","20250519","2"
"TA+4f000+2","20250520","2"
"TA+4f000+2","20250521","2"
"TA+4f000+2","20250522","2"
"TA+4f000+2","20250523","2"
"TA+4f000+2","20250526","2"
"TA+4f000+2","20250527","2"
"TA+4f000+2","20250528","2"
"TA+4f000+2","20250529","2"
"TA+4f000+2","20250530","2"
"TA+4f000+2","20250602","2"
"TA+4f000+2","20250603","2"
"TA+4f000+2","20250604","2"
"TA+4f000+2","20250605","2"
"TA+4f000+2","20250606","2"
"TA+4f000+2","20250609","2"
"TA+4f000+2","20250610","2"
"TA+4f000+2","20250611","2"
"TA+4f000+2","20250612","2"
"TA+4f000+2","20250613","2"
"TA+4f000+2","20250616","2"
"TA+4f000+2","20250617","2"
"TA+4f000+2","20250618","2"
"TA+4f000+2","20250619","2"
"TA+4f000+2","20250620","2"
"TA+4f000+2","20250623","2"
"TA+4f000+2","20250624","2"
"TA+4f000+2","20250625","2"
"TA+4f000+2","20250626","2"
"TA+4f000+2","20250627","2"
"TA+4f000+2","20250630","2"
"TA+4f000+2","20250701","2"
"TA+4f000+2","20250702","2"
"TA+4f000+2","20250703","2"
"TA+4f000+2","20250704","2"
"TA+4f000+2","20250721","2"
"TA+4f000+2","20250722","2"
"TA+5f000+2","20250425","2"
"TA+5f000+2","20250609","2"
"TA+5f000+2","20250711","2"
"TA+5f000+2","20250718","2"
"TA+7f000+2","20250425","2"
"TA+7f000+2","20250428","2"
"TA+7f000+2","20250429","2"
"TA+7f000+2","20250430","2"
"TA+7f000+2","20250501","2"
"TA+7f000+2","20250502","2"
"TA+7f000+2","20250505","2"
"TA+7f000+2","20250506","2"
"TA+7f000+2","20250507","2"
"TA+7f000+2","20250508","2"
"TA+7f000+2","20250509","2"
"TA+7f000+2","20250512","2"
"TA+7f000+2","20250513","2"
"TA+7f000+2","20250514","2"
"TA+7f000+2","20250515","2"
"TA+7f000+2","20250516","2"
"TA+7f000+2","20250519","2"
"TA+7f000+2","20250520","2"
"TA+7f000+2","20250521","2"
"TA+7f000+2","20250522","2"
