source,target,weight
Homebush Station,Strathfield Station,1793
Homebush Station,Flemington Station,796
Homebush Station,Lidcombe Station,392
Strathfield Station,Burwood Station,4476
Strathfield Station,Homebush Station,1784
Strathfield Station,Flemington Station,1187
Strathfield Station,North Strathfield Station,1381
Strathfield Station,Lidcombe Station,1897
Strathfield Station,Redfern Station,2458
Strathfield Station,Rhodes Station,171
Strathfield Station,Parramatta Station,824
Strathfield Station,Ashfield Station,22
Strathfield Station,Central Station,1047
Strathfield Station,Epping Station,801
Strathfield Station,Olympic Park Station,1
Burwood Station,Croydon Station,1405
Burwood Station,Strathfield Station,4389
Burwood Station,Ashfield Station,1569
Burwood Station,Central Station,179
Burwood Station,Redfern Station,1323
Croydon Station,Ashfield Station,1405
Croydon Station,Burwood Station,1407
Ashfield Station,Summer Hill Station,1472
Ashfield Station,Croydon Station,1407
Ashfield Station,Burwood Station,1563
Ashfield Station,Petersham Station,84
Ashfield Station,Newtown Station,904
Ashfield Station,Redfern Station,528
Summer Hill Station,Lewisham Station,1472
Summer Hill Station,Ashfield Station,1464
Lewisham Station,Petersham Station,1427
Lewisham Station,Summer Hill Station,1464
Lewisham Station,Newtown Station,45
Petersham Station,Stanmore Station,1511
Petersham Station,Lewisham Station,1373
Petersham Station,Ashfield Station,42
Stanmore Station,Newtown Station,1511
Stanmore Station,Petersham Station,1415
Newtown Station,Macdonaldtown Station,1427
Newtown Station,Stanmore Station,1415
Newtown Station,Ashfield Station,963
Newtown Station,Redfern Station,1033
Newtown Station,Lewisham Station,91
Macdonaldtown Station,Redfern Station,1427
Macdonaldtown Station,Newtown Station,1373
Redfern Station,Central Station,11084
Redfern Station,Macdonaldtown Station,1373
Redfern Station,Ashfield Station,511
Redfern Station,Newtown Station,1096
Redfern Station,Burwood Station,1248
Redfern Station,Strathfield Station,2407
Redfern Station,Erskineville Station,1329
Redfern Station,Wolli Creek Station,1103
Redfern Station,Sydenham Station,1644
Central Station,Town Hall Station,9334
Central Station,Green Square Station,2202
Central Station,Museum Station,3477
Central Station,Redfern Station,11041
Central Station,Burwood Station,171
Central Station,Strathfield Station,1156
Central Station,Sydenham Station,2
Central Station,Wolli Creek Station,4
Central Station,Glenfield Station,114
Central Station,Parramatta Station,134
Parramatta Station,Harris Park Station,1771
Parramatta Station,Westmead Station,2788
Parramatta Station,Lidcombe Station,1122
Parramatta Station,Strathfield Station,847
Parramatta Station,Seven Hills Station,192
Parramatta Station,Granville Station,268
Parramatta Station,Blacktown Station,538
Parramatta Station,Central Station,134
Parramatta Station,Penrith Station,74
Harris Park Station,Granville Station,1192
Harris Park Station,Parramatta Station,1725
Harris Park Station,Merrylands Station,579
Granville Station,Clyde Station,1824
Granville Station,Harris Park Station,1149
Granville Station,Merrylands Station,1206
Granville Station,Auburn Station,730
Granville Station,Parramatta Station,286
