station_name,label
Flemington Station,1
Epping Station,0
Town Hall Station,0
Newtown Station,0
St James Station,0
Croydon Station,0
Parramatta Station,0
Glenfield Station,1
Central Station,0
Sydenham Station,0
Mascot Station,0
Wynyard Station,0
Ashfield Station,0
St Peters Station,0
Green Square Station,0
Lidcombe Station,1
Burwood Station,0
Rhodes Station,0
Erskineville Station,0
Martin Place Station,0
Strathfield Station,0
Redfern Station,0
Museum Station,0
Wolli Creek Station,0
Circular Quay Station,0
Olympic Park Station,1
North Strathfield Station,0
Macdonaldtown Station,0
Revesby Station,0
Homebush Station,1
